"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
1,1,NA,1,8,1
5,2,NA,2,49,2
7,3,NA,5,56,3
11,4,NA,9,57,4
15,5,NA,24,73,5
26,6,NA,36,81,6
30,7,NA,41,88,7
31,9,NA,47,89,9
36,10,NA,52,NA,10
38,11,NA,59,NA,11
39,12,NA,65,NA,12
41,13,NA,82,NA,13
43,14,NA,91,NA,14
44,15,NA,94,NA,15
47,16,NA,NA,NA,16
50,17,NA,NA,NA,17
52,18,NA,NA,NA,18
56,19,NA,NA,NA,19
57,20,NA,NA,NA,20
61,21,NA,NA,NA,21
65,22,NA,NA,NA,22
66,23,NA,NA,NA,23
67,24,NA,NA,NA,24
68,25,NA,NA,NA,25
74,26,NA,NA,NA,26
75,27,NA,NA,NA,27
76,28,NA,NA,NA,28
77,29,NA,NA,NA,29
79,30,NA,NA,NA,30
82,31,NA,NA,NA,31
83,32,NA,NA,NA,32
86,33,NA,NA,NA,33
88,34,NA,NA,NA,34
91,35,NA,NA,NA,35
96,36,NA,NA,NA,36
NA,37,NA,NA,NA,37
NA,38,NA,NA,NA,38
NA,39,NA,NA,NA,39
NA,40,NA,NA,NA,40
NA,41,NA,NA,NA,41
NA,42,NA,NA,NA,42
NA,43,NA,NA,NA,43
NA,44,NA,NA,NA,44
NA,45,NA,NA,NA,45
NA,46,NA,NA,NA,46
NA,47,NA,NA,NA,47
NA,48,NA,NA,NA,48
NA,50,NA,NA,NA,50
NA,51,NA,NA,NA,51
NA,52,NA,NA,NA,52
NA,53,NA,NA,NA,53
NA,54,NA,NA,NA,54
NA,55,NA,NA,NA,55
NA,58,NA,NA,NA,58
NA,59,NA,NA,NA,59
NA,60,NA,NA,NA,60
NA,61,NA,NA,NA,61
NA,62,NA,NA,NA,62
NA,63,NA,NA,NA,63
NA,64,NA,NA,NA,64
NA,65,NA,NA,NA,65
NA,66,NA,NA,NA,66
NA,67,NA,NA,NA,67
NA,68,NA,NA,NA,68
NA,69,NA,NA,NA,69
NA,70,NA,NA,NA,70
NA,71,NA,NA,NA,71
NA,72,NA,NA,NA,72
NA,74,NA,NA,NA,74
NA,75,NA,NA,NA,75
NA,76,NA,NA,NA,76
NA,77,NA,NA,NA,77
NA,78,NA,NA,NA,78
NA,79,NA,NA,NA,79
NA,80,NA,NA,NA,80
NA,82,NA,NA,NA,82
NA,83,NA,NA,NA,83
NA,84,NA,NA,NA,84
NA,85,NA,NA,NA,85
NA,86,NA,NA,NA,86
NA,87,NA,NA,NA,87
NA,90,NA,NA,NA,90
NA,91,NA,NA,NA,91
NA,92,NA,NA,NA,92
NA,93,NA,NA,NA,93
NA,94,NA,NA,NA,94
NA,95,NA,NA,NA,95
NA,96,NA,NA,NA,96
